ID;longitude;latitude
1;55,49859553;-21,0533553
2;55,49739885;-21,0527395
3;55,50414202;-21,0597275
4;55,50358852;-21,0592619
5;55,54995369;-21,3169956
6;55,58144267;-21,3566853
7;55,43313402;-21,2944768
9;55,54281616;-21,0273357
10;55,54235399;-21,0194546
11;55,5221403;-21,0497226
13;55,52233938;-21,0353974
14;55,51205387;-21,030529
15;55,55775249;-21,2824384
16;55,57607892;-21,3419519
17;55,56666124;-21,3288008
18;55,57862189;-21,3302031
19;55,45956393;-21,2804578
20;55,6584404;-21,3536867
21;55,58077896;-21,3364814
22;55,57721873;-21,3337413
23;55,65357175;-21,3292845
24;55,8078574;-21,1829527
25;55,6204784;-21,0108918
26;55,679965;-21,352439
27;55,52398463;-21,0324758
29;55,54492213;-21,2473695
30;55,54569697;-21,2508901
31;55,55032043;-21,2412192
35;55,54742717;-21,2532898
36;55,54778272;-21,2573217
37;55,54778973;-21,2438261
39;55,5465602;-21,2444208
40;55,53879261;-21,2474972
41;55,54712211;-21,2441094
42;55,53871495;-21,244624
43;55,54736182;-21,2442289
44;55,54796784;-21,2433489
45;55,54570931;-21,2457052
46;55,54595373;-21,245346
47;55,54611955;-21,2451396
48;55,54527318;-21,2489082
49;55,54782202;-21,2483972
53;55,54510044;-21,2547241
55;55,54550051;-21,2551973
56;55,5352547;-21,2447385
57;55,53504194;-21,2448179
58;55,54607588;-21,2456632
59;55,5458411;-21,2460225
60;55,54353712;-21,2490739
62;55,54364862;-21,2416496
63;55,54453384;-21,2417746
64;55,54741349;-21,2409232
65;55,54775776;-21,2411882
66;55,54268266;-21,0282017
67;55,51716512;-21,2499461
68;55,54853584;-21,243399
69;55,51706452;-21,2503697
70;55,52219869;-21,2389427
71;55,51876535;-21,2489123
72;55,51805981;-21,2500894
73;55,51831661;-21,2504259
77;55,51490099;-21,2364577
83;55,49142533;-21,2540174
85;55,51025782;-21,2392532
86;55,51779197;-21,2537455
88;55,51625035;-21,2498838
99;55,57731593;-21,3106531
101;55,51910525;-21,2496108
104;55,32374881;-21,0175581
105;55,70913587;-21,116561
106;55,51857886;-21,2492539
107;55,52872633;-21,2306983
108;55,52948882;-21,2305604
113;55,48302759;-21,2667238
123;55,57774427;-21,3402316
124;55,5777407;-21,343601
134;55,55473089;-21,3381112
135;55,55492203;-21,3372998
153;55,57022166;-21,3384514
168;55,57724037;-21,344491
169;55,57681546;-21,3445597
170;55,5770451;-21,3447423
183;55,5771569;-21,3121513
196;55,57160896;-21,3186444
199;55,55435482;-21,3518835
204;55,55026178;-21,3582346
205;55,57654453;-21,3596338
207;55,57408929;-21,3243473
224;55,56147814;-21,334348
228;55,58841945;-21,3390479
229;55,58799533;-21,3390353
237;55,58238957;-21,3614989
238;55,58173659;-21,3612134
239;55,58082214;-21,3600404
240;55,5852825;-21,3574855
241;55,58233348;-21,3573071
242;55,58118979;-21,3579117
243;55,58101467;-21,3580728
244;55,58055802;-21,3574276
245;55,55884183;-21,358453
246;55,55789088;-21,3580745
261;55,58587452;-21,3400021
262;55,5838498;-21,3389914
263;55,58467494;-21,3394139
271;55,56462746;-21,3337065
277;55,56455164;-21,3196953
278;55,56462226;-21,3203644
283;55,53913101;-21,3614443
287;55,54650037;-21,3485276
292;55,55486869;-21,3378233
298;55,58036234;-21,360723
300;55,58036953;-21,3569743
301;55,58096247;-21,3574852
302;55,58142886;-21,3571188
303;55,5831171;-21,3580454
304;55,58260737;-21,3569029
305;55,58320197;-21,3572421
306;55,58567831;-21,3554292
307;55,58477415;-21,3451508
310;55,58671207;-21,3401356
311;55,54397319;-21,3544766
312;55,58717935;-21,3587842
313;55,55291026;-21,3438406
314;55,57897488;-21,3606029
316;55,54495391;-21,3576919
317;55,54588506;-21,3561643
318;55,58532812;-21,3446948
323;55,57069731;-21,3689425
328;55,55362244;-21,3498718
329;55,56596422;-21,3697332
333;55,55911965;-21,3625835
334;55,56767651;-21,3622412
335;55,56152396;-21,34349
336;55,5619365;-21,3437013
338;55,55413587;-21,3476631
344;55,58186845;-21,3354788
345;55,57249278;-21,3199617
346;55,57241135;-21,31941
347;55,57185376;-21,3202453
348;55,57132515;-21,3200782
349;55,57043236;-21,3206849
350;55,56097292;-21,3495646
351;55,56025971;-21,3495314
352;55,56071772;-21,3490385
