Id;X;Y;Surface;Altitude;Type;Maladie;Date
196;55,57160601;-21,31864554;1235,597793;860,7018709;NA;NA;NA
199;55,55435715;-21,35188444;656,4557572;297,3389734;NA;NA;NA
204;55,55025897;-21,35823596;727,6384092;189,8992419;NA;NA;NA
205;55,57654845;-21,35963307;2123,02912;245,4564416;NA;NA;NA
207;55,57409377;-21,32434596;2704,199481;772,7146454;NA;NA;NA
224;55,56148211;-21,3343478;1776,709517;534,5829191;NA;NA;NA
228;55,58842228;-21,33904363;1307,526508;622,7404548;NA;NA;NA
229;55,58799521;-21,33903322;1269,553188;619,6536831;NA;NA;NA
237;55,5823914;-21,36150301;2730,887857;231,0402003;Mixte;1;01/01/2017
238;55,58173794;-21,3612149;4651,823177;230,7050846;NA;NA;NA
239;55,580826;-21,36003815;10863,01507;248,1372236;Mixte;1;19/03/2019
240;55,58528016;-21,35748113;6934,29259;302,307157;NA;NA;NA
241;55,58232926;-21,35730505;13268,40537;297,1860876;NA;NA;NA
242;55,58119422;-21,35791349;1952,700676;277,8588841;Officiel;0;01/01/2016
243;55,58101025;-21,35807314;741,4949787;277,0642672;Officiel;0;01/01/2017
244;55,58055883;-21,3574314;7427,124615;273,5776979;NA;NA;NA
245;55,55884552;-21,35844971;2635,212759;226,7528095;Officiel;1;01/01/2016
246;55,55788867;-21,35807764;2960,624089;220,3874259;NA;NA;NA
261;55,5858782;-21,33999885;2125,51782;601,8214804;NA;NA;NA
262;55,58385251;-21,33898796;582,8143875;597,8902065;NA;NA;NA
263;55,5846729;-21,33941158;14637,33279;588,3929284;NA;NA;NA
271;55,56462857;-21,33370831;1750,123121;586,0392757;NA;NA;NA
277;55,56454997;-21,31969807;2275,651197;795,5451722;NA;NA;NA
278;55,56462022;-21,32036302;3547,873489;785,8251779;Officiel;0;01/01/2017
283;55,53912791;-21,36144737;2202,038331;54,92176103;NA;NA;NA
287;55,54650254;-21,34852877;11770,24747;296,1188654;Mixte;1;21/05/2019
292;55,55486773;-21,33782223;924,7902033;482,6322029;NA;NA;NA
298;55,58036696;-21,36071888;949,9805961;237,9942236;NA;NA;NA
300;55,58036823;-21,35697863;400,4364602;272,8445659;NA;NA;NA
301;55,58096426;-21,35748468;1405,242729;283,6642151;NA;NA;NA
302;55,58142936;-21,35711959;1608,786191;289,4778919;NA;NA;NA
303;55,58311407;-21,35804804;2628,932531;291,6708622;NA;NA;NA
304;55,58260707;-21,3568985;1168,068199;307,6259817;NA;NA;NA
305;55,58320073;-21,35724409;3683,062417;306,8625168;NA;NA;NA
306;55,58567429;-21,35543143;1863,334228;335,6080583;NA;NA;NA
307;55,58477042;-21,34515038;2295,171366;500,9207385;NA;NA;NA
310;55,58671073;-21,34013147;592,8924228;617,124082;NA;NA;NA
311;55,54397614;-21,35447809;3179,970865;185,3004697;NA;NA;NA
312;55,58718231;-21,35878468;422,6861456;281,6431359;NA;NA;NA
313;55,55290919;-21,34384212;4015,754212;394,6341794;Mixte;1;01/01/2017
314;55,57897143;-21,36060562;1868,930873;223,6969997;Officiel;1;01/01/2017
316;55,54495861;-21,3576952;3277,100897;138,7744184;NA;NA;NA
317;55,54588628;-21,35616336;1067,875696;171,0211649;NA;NA;NA
318;55,5853239;-21,34469922;5755,287856;514,3008761;NA;NA;NA
323;55,57070121;-21,36894062;2881,603318;162,5945783;NA;NA;NA
328;55,55362428;-21,34987395;1761,281163;310,8695768;NA;NA;NA
329;55,56596593;-21,36973448;1135,294486;149,473553;NA;NA;NA
333;55,55912015;-21,36258771;2309,014364;190,7748216;NA;NA;NA
334;55,56767669;-21,36224372;11857,47003;220,9338039;Mixte;1;28/12/2016
335;55,56152187;-21,34349097;2487,079662;451,4302399;Mixte;1;01/01/2017
336;55,56193639;-21,34370323;1733,167495;450,3413675;NA;NA;NA
338;55,55413291;-21,3476596;2650,527222;344,0927259;NA;NA;NA
344;55,58186595;-21,33547877;1916,118104;672,950349;NA;NA;NA
345;55,57249523;-21,31996531;2343,862725;840,0451355;NA;NA;NA
346;55,57241034;-21,31941282;4714,338769;851,5697611;NA;NA;NA
347;55,57185396;-21,32024378;6916,021303;831,1478059;NA;NA;NA
348;55,57132137;-21,3200801;4999,022192;833,806995;Officiel;0;01/01/2017
349;55,57042757;-21,32068659;3582,899437;816,4300893;NA;NA;NA
350;55,56097617;-21,34956204;1030,784855;363,3908969;NA;NA;NA
351;55,56026249;-21,34953575;3140,943313;351,7839381;Officiel;1;19/03/2019
352;55,56071796;-21,34904106;611,8511808;368,9316817;NA;NA;NA
353;55,5597367;-21,34978765;760,6839868;343,7620599;NA;NA;NA
354;55,55879947;-21,34902419;597,198134;353,5266431;NA;NA;NA
355;55,56014421;-21,34911725;2423,457432;356,4013515;Officiel;0;19/03/2019
356;55,55940889;-21,34916625;1553,924398;356,1904126;Mixte;1;19/03/2019
357;55,55911916;-21,37027291;5544,268571;120,0950047;NA;NA;NA
358;55,57272023;-21,36066038;1804,254609;285,4735413;NA;NA;NA
359;55,55787517;-21,34973195;232,1171864;328,5370738;Mixte;1;19/03/2019
360;55,55970587;-21,34963747;520,7938711;343,835144;Mixte;1;19/03/2019
361;55,57678129;-21,31139471;11416,8385;970,8401025;Officiel;0;16/07/2019
362;55,5774042;-21,31173762;3355,384598;972,3413014;Officiel;0;16/07/2019
376;55,58089703;-21,32833504;3513,248513;766,1735257;Officiel;0;01/01/2017
386;55,58229302;-21,33659472;850,979706;655,6016433;NA;NA;NA
388;55,55535768;-21,33776066;2330,898382;484,5054445;NA;NA;NA
389;55,58223676;-21,33714213;351,7006974;643,379872;NA;NA;NA
390;55,55195468;-21,33825929;3178,549125;444,4962714;NA;NA;NA
391;55,58608652;-21,34022934;2652,026605;604,6021341;NA;NA;NA
394;55,56230818;-21,34387471;2384,526593;448,5246624;NA;NA;NA
399;55,58548433;-21,34530194;611,4475732;499,3426634;NA;NA;NA
400;55,55443808;-21,34744258;559,82459;346,6523399;Mixte;1;01/01/2015
406;55,57613007;-21,35272366;296,2507145;341,2772878;NA;NA;NA
407;55,58176791;-21,35256052;1598,099024;366,2348332;NA;NA;NA
408;55,54441353;-21,35481277;2186,286721;190,5948157;NA;NA;NA
409;55,54464351;-21,35450474;2296,433013;196,5815059;NA;NA;NA
412;55,58053928;-21,35819891;1571,233546;269,8504218;NA;NA;NA
413;55,58676655;-21,35869223;2899,825446;283,054653;Mixte;1;25/06/2019
415;55,55053434;-21,35815273;1619,855373;191,1268317;NA;NA;NA
416;55,53995214;-21,36101465;1506,864702;63,3804463;NA;NA;NA
418;55,5398984;-21,36161811;1756,97685;59,6417412;NA;NA;NA
421;55,57267007;-21,3598766;1609,479546;285,8555096;Mixte;1;01/01/2017
422;55,58072065;-21,36063293;3643,961895;241,5254549;Officiel;1;19/03/2019
427;55,55394249;-21,36804559;2889,047986;102,1185183;Officiel;0;01/01/2016
428;55,55426894;-21,36836751;1119,112032;106,0274952;NA;NA;NA
429;55,56173936;-21,36907425;2461,746045;145,9019713;NA;NA;NA
430;55,56225038;-21,36855618;2840,043877;162,9331767;NA;NA;NA
431;55,56262112;-21,36820486;911,5399903;167,5622665;NA;NA;NA
432;55,56873775;-21,36822893;2163,102859;183,5178945;NA;NA;NA
433;55,56728497;-21,37061211;319,2172265;131,9644063;NA;NA;NA
434;55,56733362;-21,37013343;1738,95686;142,3597824;NA;NA;NA
435;55,56762143;-21,37059674;448,4056235;130,4794279;NA;NA;NA
436;55,56738586;-21,37046205;242,9864319;133,9630418;NA;NA;NA
437;55,56783033;-21,37001373;2842,842588;140,8135754;NA;NA;NA
438;55,56817987;-21,3692651;5530,647008;159,6144284;Officiel;1;01/01/2016
449;55,5690468;-21,3661648;170,6052823;202,0187759;Officiel;1;01/01/2016
450;55,56896072;-21,3660942;731,1056003;200,2030167;NA;NA;NA
451;55,55893109;-21,34954745;3624,125427;345,1834761;Officiel;1;19/03/2019
458;55,53924167;-21,2142261;3069,403401;1277,810882;NA;NA;NA
459;55,69587027;-21,11013156;5235,663184;466,8351135;NA;NA;NA
464;55,60702125;-21,33468493;1741,840949;627,6295833;NA;NA;NA
487;55,29177976;-21,07793254;695,2188756;690,9415874;NA;NA;NA
489;55,3339394;-21,0127146;2124,190017;739,8852158;NA;NA;NA
497;55,55189567;-21,29512242;1656,311627;781,9360306;NA;NA;NA
500;55,72743287;-21,09568749;11043,47689;158,930379;NA;NA;NA
526;55,48611054;-21,26975823;5188,604588;374,3349025;NA;NA;NA
552;55,6075117;-21,32962274;10411,69903;644,4733817;NA;NA;NA
574;55,43430749;-21,29490877;30234,19845;86,30666474;Mixte;1;01/01/2017
575;55,56558823;-21,26999568;19583,92904;1136,432293;NA;NA;NA
613;55,25995091;-21,06307826;63826,96931;351,6779723;Officiel;1;17/09/2019
650;55,68312023;-21,04621741;11241,05731;156,5347531;NA;NA;NA
655;55,48839134;-21,32368372;6962,879486;143,5902111;Officiel;0;01/01/2015
661;55,48781252;-21,32342099;3953,515005;143,5403533;Agrumile;1;01/02/2019
675;55,40823024;-21,20249709;2156,643737;931,6009236;NA;NA;NA
690;55,35413006;-21,23160638;10905,27178;577,2658371;NA;NA;NA
711;55,23294723;-21,02599338;47526,76072;84,26153232;Officiel;0;31/07/2018
735;55,53451853;-21,31851899;7816,924707;506,2672759;NA;NA;NA
744;55,46958722;-21,22919098;620,6046553;459,7110467;NA;NA;NA
748;55,48148581;-21,23510643;2141,142784;587,6168856;Officiel;0;25/06/2019
757;55,4905776;-21,30121077;7435,523725;264,4208075;NA;NA;NA
797;55,61231071;-21,31948268;5898,216055;795,9105944;NA;NA;NA
800;55,29185945;-21,07756882;1554,141948;691,4350207;NA;NA;NA
815;55,69688694;-21,03199019;3812,548394;62,8709553;NA;NA;NA
842;55,57289154;-21,30615417;2690,173585;972,6673855;NA;NA;NA
850;55,27724352;-21,04249117;1631,604634;413,1143923;NA;NA;NA
855;55,46993226;-21,22834282;2116,782366;465,293776;NA;NA;NA
884;55,32158116;-21,16221443;2481,478842;732,3733894;NA;NA;NA
886;55,5940465;-21,33180724;941,4722454;783,2610552;NA;NA;NA
950;55,60885231;-21,33952458;2335,622587;567,1416357;NA;NA;NA
962;55,59909035;-21,36204958;10859,59842;275,6988584;NA;NA;NA
972;55,52648977;-21,22955768;887,070868;1069,777017;NA;NA;NA
975;55,48955012;-21,27101647;14076,70736;401,8505325;NA;NA;NA
980;55,48743619;-21,28816696;5734,167903;310,1124736;NA;NA;NA
983;55,61444238;-21,34887694;3431,156915;464,6591805;NA;NA;NA
1015;55,69499037;-21,02671472;877,8103286;67,97066126;NA;NA;NA
1027;55,61004011;-21,33491333;3345,777155;634,3934654;NA;NA;NA
1056;55,73408808;-21,07532538;1558,711601;43,46242905;NA;NA;NA
1057;55,59762195;-21,33434926;3192,650289;715,1577026;NA;NA;NA
1058;55,29211453;-21,03666122;4799,01698;534,9238717;NA;NA;NA
1071;55,5914636;-20,96890729;2335,552343;498,8667159;Officiel;0;01/01/2016
1095;55,37094866;-21,28183184;8114,621253;5,437103726;Mixte;1;16/04/2019
1120;55,61489608;-21,32525332;4299,087664;740,226115;NA;NA;NA
1181;55,54715771;-21,31787554;2391,143259;633,4780291;NA;NA;NA
1187;55,3213691;-21,03596255;6723,953385;870,5323664;NA;NA;NA
1206;55,38671212;-21,25582244;12285,71425;180,5000302;Officiel;0;08/08/2019
1210;55,29186165;-21,12439471;2219,470156;531,6893921;NA;NA;NA
1223;55,27672975;-21,05623406;16982,94468;444,1051952;NA;NA;NA
1278;55,32611322;-21,17887303;14156,28736;743,6174526;NA;NA;NA
1289;55,69071647;-21,10879148;6742,57335;528,7157961;Officiel;0;03/09/2019
1301;55,63782055;-21,36712387;8245,901316;228,8573283;NA;NA;NA
