id;longitude;latitude;date
HLB18_0236;55,50154384;-21,2453637;18/09/2018
HLB18_0237;55,50154384;-21,2453637;18/09/2018
HLB18_0238;55,50154384;-21,2453637;18/09/2018
HLB18_0239;55,50154384;-21,2453637;18/09/2018
HLB18_0240;55,50154384;-21,2453637;18/09/2018
HLB18_0241;55,50154384;-21,2453637;18/09/2018
HLB18_0242;55,50154384;-21,2453637;18/09/2018
HLB18_0243;55,50154384;-21,2453637;18/09/2018
HLB18_0244;55,50154384;-21,2453637;18/09/2018
HLB18_0245;55,50154384;-21,2453637;18/09/2018
HLB18_0246;55,50154384;-21,2453637;18/09/2018
HLB18_0247;55,50154384;-21,2453637;18/09/2018
HLB18_0248;55,50154384;-21,2453637;18/09/2018
HLB18_0249;55,50154384;-21,2453637;18/09/2018
HLB18_0250;55,50154384;-21,2453637;18/09/2018
HLB18_0325;55,31715589;-21,0247011;31/07/2018
HLB18_0329;55,54456082;-21,2223353;20/04/2018
HLB18_0330;55,54456082;-21,2223353;20/04/2018
HLB18_0336;55,52144744;-21,2273195;20/04/2018
HLB18_0337;55,52144744;-21,2273195;20/04/2018
HLB18_0338;55,52144744;-21,2273195;20/04/2018
HLB18_0348;55,5068028;-21,0544303;29/05/2018
HLB18_0351;55,50707114;-21,0545411;29/05/2018
HLB18_0352;55,50707114;-21,0545411;29/05/2018
HLB18_0356;55,50889984;-21,0699589;29/05/2018
HLB18_0360;55,50889984;-21,0699589;29/05/2018
HLB18_0364;55,53337739;-21,0519247;29/05/2018
HLB18_0444;55,51864594;-21,2492906;18/09/2018
HLB19_0011;55,48777362;-21,3237286;01/02/2019
HLB19_0012;55,48777362;-21,3237286;01/02/2019
HLB19_0013;55,48777362;-21,3237286;01/02/2019
HLB19_0014;55,48777362;-21,3237286;01/02/2019
HLB19_0015;55,48777362;-21,3237286;01/02/2019
HLB19_0016;55,48777362;-21,3237286;01/02/2019
HLB19_0017;55,48777362;-21,3237286;01/02/2019
HLB19_0018;55,48777362;-21,3237286;01/02/2019
HLB19_0019;55,48777362;-21,3237286;01/02/2019
HLB19_0020;55,48777362;-21,3237286;01/02/2019
HLB19_0021;55,55916411;-21,3491607;19/03/2019
HLB19_0022;55,55916411;-21,3491607;19/03/2019
HLB19_0023;55,55916411;-21,3491607;19/03/2019
HLB19_0024;55,55916411;-21,3491607;19/03/2019
HLB19_0025;55,55916411;-21,3491607;19/03/2019
HLB19_0026;55,55916411;-21,3491607;19/03/2019
HLB19_0027;55,55916411;-21,3491607;19/03/2019
HLB19_0028;55,55916411;-21,3491607;19/03/2019
HLB19_0029;55,55916411;-21,3491607;19/03/2019
HLB19_0030;55,55916411;-21,3491607;19/03/2019
HLB19_0038;55,55916411;-21,3491607;19/03/2019
HLB19_0039;55,55916411;-21,3491607;19/03/2019
HLB19_0048;55,55916411;-21,3491607;19/03/2019
HLB19_0049;55,55916411;-21,3491607;19/03/2019
HLB19_0050;55,55916411;-21,3491607;19/03/2019
HLB19_0053;55,55916411;-21,3491607;19/03/2019
HLB19_0059;55,55916411;-21,3491607;19/03/2019
HLB19_0060;55,55916411;-21,3491607;19/03/2019
HLB19_0063;55,55916411;-21,3491607;19/03/2019
HLB19_0064;55,55916411;-21,3491607;19/03/2019
HLB19_0144;55,6065047;-21,3219814;16/04/2019
HLB19_0145;55,6065047;-21,3219814;16/04/2019
HLB19_0150;55,47940603;-21,2656072;10/04/2019
HLB19_0151;55,47940603;-21,2656072;10/04/2019
HLB19_0155;55,47940603;-21,2656072;10/04/2019
HLB19_0157;55,47940603;-21,2656072;10/04/2019
HLB19_0162;55,47940603;-21,2656072;10/04/2019
HLB19_0163;55,47940603;-21,2656072;10/04/2019
HLB19_0164;55,47940603;-21,2656072;10/04/2019
HLB19_0165;55,47940603;-21,2656072;10/04/2019
HLB19_0167;55,47940603;-21,2656072;10/04/2019
HLB19_0171;55,47940603;-21,2656072;10/04/2019
HLB19_0173;55,47940603;-21,2656072;10/04/2019
HLB19_0174;55,47940603;-21,2656072;10/04/2019
HLB19_0175;55,47940603;-21,2656072;10/04/2019
HLB19_0185;55,47940603;-21,2656072;10/04/2019
HLB19_0186;55,47940603;-21,2656072;10/04/2019
HLB19_0187;55,47940603;-21,2656072;10/04/2019
HLB19_0188;55,47940603;-21,2656072;10/04/2019
HLB19_0189;55,47940603;-21,2656072;10/04/2019
HLB19_0190;55,47940603;-21,2656072;10/04/2019
HLB19_0191;55,47940603;-21,2656072;10/04/2019
HLB19_0194;55,47940603;-21,2656072;10/04/2019
HLB19_0195;55,47940603;-21,2656072;10/04/2019
HLB19_0197;55,47940603;-21,2656072;10/04/2019
HLB19_0198;55,47940603;-21,2656072;10/04/2019
HLB19_0199;55,47940603;-21,2656072;10/04/2019
HLB19_0200;55,47940603;-21,2656072;10/04/2019
HLB19_0202;55,55316393;-21,29435;17/04/2019
HLB19_0203;55,55316393;-21,29435;17/04/2019
HLB19_0205;55,55316393;-21,29435;17/04/2019
HLB19_0231;55,55998011;-21,349529;12/06/2019
HLB19_0232;55,55998011;-21,349529;12/06/2019
HLB19_0233;55,55998011;-21,349529;12/06/2019
HLB19_0234;55,55998011;-21,349529;12/06/2019
HLB19_0235;55,55998011;-21,349529;12/06/2019
HLB19_0236;55,55998011;-21,349529;12/06/2019
HLB19_0237;55,55998011;-21,349529;12/06/2019
HLB19_0238;55,55998011;-21,349529;12/06/2019
HLB19_0241;55,55998011;-21,349529;12/06/2019
